signature,top_cell_type,top_z,z_Bcell,z_DC,z_Endo,z_Epi,z_Fibro,z_Macro,z_NK,z_Peri,z_Plasma,z_Tcell
ADO_Sidders,Fibro,1.4880160597043783,-0.4998381462034219,-0.041930579970039496,1.2506502836992839,-0.20349058460831287,1.4880160597043783,1.340054285221258,-0.8175415185128473,0.08825088288439124,-1.4836299494497902,-1.1205407327648993
APM_Thompson,NK,1.7408785053887978,0.3802673840088762,-0.667357780587651,0.3961233603907886,-2.160560695545234,-0.14911560453156822,-0.1845110640390677,1.7408785053887978,0.1477162525717668,-0.5742316702219105,1.070791312565202
APM_Wang,NK,1.3794696581695518,-0.33198795639658923,-1.4712246933623063,1.3008920561319535,-1.6925043524336685,0.6807359011235417,0.29036235216825235,1.3794696581695518,-0.27447350282350463,-0.5042650293630774,0.622995566785847
Bcell_Budczies,Bcell,2.9143121047259264,2.9143121047259264,-0.42841080411888377,-0.43364670161614166,-0.42517714427486275,-0.40964977438149247,-0.4075618667502736,-0.38980578525394516,-0.4215863116733341,0.3820895592132872,-0.3805632758702797
Bcell_Helmink,Bcell,1.912812073864581,1.912812073864581,0.3978182324110997,-1.1060493113285745,-1.2573879591482788,-1.1135126059746767,0.19553320216245695,0.9782354181964338,-0.07308937089854381,-0.7208165126118716,0.7864568333273738
Blood_Friedlander,Fibro,1.3774995465505855,0.5256461663747407,-0.5999704655173523,1.2534397471858383,-0.45938996860423204,1.3774995465505855,1.125940461805614,-0.7452257998110896,0.01652597024749631,-1.85940927741664,-0.6350563808149607
C-ECM_Chakravarthy,Fibro,2.708522931450942,-0.4459891892139078,-0.3564061240764228,0.5233043149572351,-0.6555183559734339,2.708522931450942,0.19694349119903065,-0.7100244269062622,0.19116678148773744,-0.7460340204019833,-0.7059654025229345
CCL5-CXCL9_Dangaj,NK,1.7249923350933085,0.37532506307032576,-0.34506669508881743,-1.0907202052724658,-1.1942098202852431,-0.7346843575325276,1.0211719799400039,1.7249923350933085,-0.3363307023427318,-0.7791305181883729,1.35865292060652
CD39-CD8Tcell_Chow,NK,2.2392413147308,0.026635766979958928,-0.6190872660500428,-0.5518862911793557,-1.1780273754454693,-0.5000705550587217,-0.27778757008920113,2.2392413147308,-0.0589756402790824,-0.5781967934275795,1.4981544098186936
CD8_Sade-Feldman,NK,1.691890068082859,0.5419317381880502,0.18199163642867175,-0.8511225286237921,-1.3902449352522475,-1.0686099653296173,-0.2873007023977195,1.691890068082859,0.23281765980000071,-0.6267822328101919,1.575429261913987
CIN25_Carter,Epi,2.53644471132124,-0.19934708496543238,-0.4969424512444904,0.1570727742047818,2.53644471132124,-0.3467279913669906,-0.7765171742619514,0.5668280271978073,-0.0630871708574903,-1.4818153419614897,0.10409170193401533
CIN70_Carter,Epi,2.3850021463431488,-0.36444363453855105,-0.4959755130792493,0.23642513426499814,2.3850021463431488,-0.1149477947829791,-0.6789085908172343,0.6191272450126476,-0.05104436381551055,-1.7264004223717453,0.19116579378447493
CTL_Jiang,NK,2.883168997052472,-0.24411598164611673,-0.5150607924213357,-0.4903007861896464,-0.4760787111916009,-0.3007716808110567,-0.4928658139381998,2.883168997052472,-0.3206043854616834,-0.5003828523879533,0.45701200699512057
CYT_Davoli,NK,2.580904825848353,-0.22066690690541915,-0.5837944911090256,-0.5898625127023464,-0.5760838159009956,-0.3344039753679854,-0.5744952365169828,2.580904825848353,-0.255356305245084,-0.6201180505932158,1.1738764684927014
