signature,top_cell_type,top_z,n_genes,z_Bcell,z_DC,z_Endo,z_Epi,z_Fibro,z_Macro,z_NK,z_Peri,z_Plasma,z_Tcell
ADO_Sidders,Fibro,1.4677268266677856,14,-1.107507586479187,0.05241619050502777,0.796089231967926,-0.11884599924087524,1.4677268266677856,0.9514786005020142,-0.7726361751556396,1.092233419418335,-1.673564076423645,-0.6873903274536133
APM_Thompson,Endo,1.0315190553665161,8,-0.5538568496704102,0.6075183749198914,1.0315190553665161,-0.6770349144935608,-0.17351800203323364,0.3225797116756439,1.0177048444747925,0.2123156487941742,-2.4731228351593018,0.6858949661254883
APM_Wang,Endo,1.3086999654769897,18,-0.8553171157836914,0.5713877081871033,1.3086999654769897,-0.9184988141059875,-0.23761619627475739,0.4569655954837799,0.9978788495063782,0.40768033266067505,-2.180861234664917,0.449680894613266
Bcell_Budczies,Bcell,2.85878849029541,8,2.85878849029541,-0.09547583013772964,-0.470689594745636,-0.4850161373615265,-0.4360682964324951,-0.45464572310447693,-0.4772320091724396,-0.5025035738945007,0.5225064158439636,-0.45966389775276184
Bcell_Helmink,DC,1.7016990184783936,62,1.2443848848342896,1.7016990184783936,-0.35469022393226624,-0.38292768597602844,-0.3184904158115387,0.18143919110298157,0.2229001224040985,-0.707188606262207,-2.0857796669006348,0.4986531436443329
Blood_Friedlander,Fibro,0.8841970562934875,14,-0.9071671962738037,0.766737699508667,0.8627967238426208,0.5527842044830322,0.8841970562934875,0.3632817268371582,-0.5767873525619507,0.8593305349349976,-2.302520513534546,-0.5026527047157288
C-ECM_Chakravarthy,Fibro,2.200638771057129,56,-0.6423010230064392,-0.44258394837379456,0.023442646488547325,-0.505586564540863,2.200638771057129,-0.39593571424484253,-0.63370281457901,1.6986156702041626,-0.6683782339096069,-0.6342087984085083
CCL5-CXCL9_Dangaj,Tcell,1.4870104789733887,21,-0.38089120388031006,0.8993582129478455,-0.7023636102676392,-1.0497394800186157,-0.6394513249397278,0.9332482814788818,1.4065306186676025,-0.7858605980873108,-1.1678415536880493,1.4870104789733887
CD39-CD8Tcell_Chow,NK,2.3017783164978027,23,-0.3194112181663513,0.028576232492923737,-0.31810492277145386,-0.900153636932373,-0.6603996753692627,-0.2133244425058365,2.3017783164978027,-0.6144745945930481,-0.7894380688667297,1.4849519729614258
CD8_Sade-Feldman,DC,1.662918210029602,32,-0.15873084962368011,1.662918210029602,0.025458713993430138,-0.45212623476982117,0.4912946820259094,0.010320368222892284,0.3462212383747101,-0.4484242796897888,-2.3742144107818604,0.8972825407981873
CIN25_Carter,Epi,2.0322787761688232,24,-0.6853331923484802,0.7895730137825012,-0.0803733840584755,2.0322787761688232,-0.579739511013031,0.026133038103580475,-0.4021027088165283,0.868554949760437,-1.8730218410491943,-0.09596855938434601
CIN70_Carter,Epi,2.041088104248047,68,-0.769006609916687,0.8033440709114075,0.06947396695613861,2.041088104248047,-0.3402675688266754,-0.014099317602813244,-0.25144249200820923,0.5447245836257935,-2.028144359588623,-0.05567037686705589
CRMA_Shukla,Epi,2.9996702671051025,5,-0.3347983658313751,-0.3439566195011139,-0.3115677535533905,2.9996702671051025,-0.34395667910575867,-0.2993019223213196,-0.3439568281173706,-0.34395676851272583,-0.3439568281173706,-0.3342188000679016
CTL_Jiang,NK,2.6954894065856934,5,-0.4754115343093872,-0.3331901729106903,-0.4771486520767212,-0.5054600834846497,-0.4635460078716278,-0.4773752987384796,2.6954894065856934,-0.5127105712890625,-0.45251548290252686,1.0018683671951294
CYT_Davoli,NK,2.544905185699463,7,-0.4855171740055084,-0.3617202341556549,-0.48175621032714844,-0.5235779881477356,-0.48709413409233093,-0.4847988188266754,2.544905185699463,-0.501409113407135,-0.5100733637809753,1.2910419702529907
Chemokine_Messina,Macro,1.8729485273361206,12,-1.0627611875534058,0.43201369047164917,0.4444774091243744,-1.213767647743225,0.6718522310256958,1.8729485273361206,0.9609954953193665,-0.8697351813316345,-1.1702624559402466,-0.06576085090637207
EMT_Thompson,Fibro,1.9635155200958252,12,-1.0353947877883911,-0.17367680370807648,-0.17625336349010468,1.1749937534332275,1.9635155200958252,0.11606018990278244,-0.7703205347061157,0.9323506951332092,-1.2295836210250854,-0.8016909956932068
